feature,shap_value,abs_shap_value,customer_id,churn_probability
cat__city_Bella Vista,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bell,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Beaumont,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Beale Afb,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bayside,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bass Lake,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Barstow,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Banning,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bangor,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Ballico,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Baldwin Park,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bakersfield,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Biggs,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Sur,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Pine,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Oak Flat,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Bend,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Bear Lake,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Bear City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Big Bar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bieber,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Beverly Hills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bethel Island,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Berry Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Berkeley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Benton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Benicia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Boron,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Boonville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bonsall,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bonita,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bolinas,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bodfish,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bodega Bay,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bodega,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Blythe,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Blue Lake,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bloomington,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Blocksburg,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Blairsden Graeagle,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bishop,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Birds Landing,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Biola,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Buellton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brownsville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Browns Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brooks,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brookdale,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brisbane,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bridgeville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bridgeport,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brentwood,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brea,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Brawley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Branscomb,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Bradley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Boulevard,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Boulder Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Borrego Springs,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calimesa,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_California Hot Springs,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_California City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Caliente,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calexico,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calabasas,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cabazon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Byron,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Buttonwillow,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Butte City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Burson,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Burnt Ranch,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Burney,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Burlingame,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Burbank,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Buena Park,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Canyon Country,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cantua Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Canoga Park,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Canby,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Camptonville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Campo Seco,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Campo,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Campbell,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Camp Nelson,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Camino,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cambria,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Camarillo,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calpine,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Callahan,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calistoga,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Calipatria,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Casmalia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Caruthers,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carson,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carpinteria,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carnelian Bay,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carmichael,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carmel Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carmel By The Sea,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carmel,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carlsbad,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Carlotta,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cardiff By The Sea,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Capitola,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Capistrano Beach,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Capay,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Canyon Dam,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chatsworth,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Challenge,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cerritos,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Ceres,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cedarville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cedar Glen,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cazadero,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cayucos,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Catheys Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cathedral City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Castroville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Castro Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Castella,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Castaic,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cassel,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Caspar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clio,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clements,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clearlake Oaks,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clearlake,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clayton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clarksburg,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Claremont,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Citrus Heights,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chula Vista,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chualar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chowchilla,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chino Hills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chino,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chilcoot,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chico,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Chester,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cool,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Concord,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Compton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Comptche,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Colusa,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Columbia,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Colton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Colfax,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coleville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cobb,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coarsegold,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coalinga,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coachella,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clovis,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cloverdale,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Clipper Mills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Crescent Mills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Crescent City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Covina,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Covelo,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Courtland,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coulterville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cottonwood,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cotati,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Costa Mesa,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Corte Madera,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Coronado,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Corona Del Mar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Corona,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Corning,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Corcoran,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Copperopolis,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Davis,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Davenport,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Darwin,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Danville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dana Point,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Daly City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Daggett,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cypress,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cutler,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cupertino,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Culver City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Crows Landing,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Crockett,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Creston,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Crestline,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Cressey,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dixon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dinuba,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dillon Beach,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Diamond Springs,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Diamond Bar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Desert Hot Springs,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Desert Center,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Descanso,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Denair,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Delhi,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Delano,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Del Rey,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Del Mar,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Deer Park,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Death Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Davis Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dunsmuir,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dunnigan,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dunlap,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Duncans Mills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dulzura,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Ducor,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dublin,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Duarte,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Doyle,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Downieville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Downey,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Douglas City,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dos Rios,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dos Palos,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dorris,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dobbins,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Segundo,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Portal,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Nido,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Monte,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Dorado Hills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Dorado,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Cerrito,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Centro,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Cajon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Edwards,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Echo Lake,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Earp,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Earlimart,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Eagleville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Dutch Flat,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Durham,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Etna,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Essex,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Esparto,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Escondido,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Escalon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Encino,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Encinitas,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Emigrant Gap,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Emeryville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Elverta,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Elmira,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Elk Grove,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Elk Creek,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Elk,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Eldridge,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_El Sobrante,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fillmore,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fields Landing,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fiddletown,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Ferndale,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Felton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fellows,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fawnskin,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Farmington,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Farmersville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fallbrook,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fall River Mills,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fairfield,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fairfax,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fair Oaks,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Exeter,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Eureka,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fort Bragg,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fort Bidwell,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forks Of Salmon,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forestville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Foresthill,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forest Ranch,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forest Knolls,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forest Falls,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Forbestown,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Foothill Ranch,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fontana,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Folsom,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Flournoy,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Five Points,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fish Camp,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Firebaugh,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Garberville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Galt,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fulton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fullerton,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Friant,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_French Gulch,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_French Camp,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fremont,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Freedom,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Frazier Park,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fowler,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fountain Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fortuna,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fort Jones,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Fort Irwin,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glennville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glenn,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glenhaven,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glendora,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glendale,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glencoe,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Glen Ellen,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Gilroy,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Geyserville,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Gerber,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Georgetown,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Gazelle,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Gasquet,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Gardena,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Garden Valley,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Garden Grove,0.0,0.0,3551-GAEGL,0.0006535782
cat__city_Grenada,0.0,0.0,3551-GAEGL,0.0006535782
