customer_id,churn_label,churn_value,churn_score,cltv,churn_reason
1024-GUALD,1,1,94,4851,Product dissatisfaction
2472-OVKUP,1,1,94,2283,Service dissatisfaction
1285-OKIPP,1,1,98,3394,Lack of self-service on Website
7825-ECJRF,1,1,71,3764,Network reliability
7841-TZDMQ,1,1,76,2667,Don't know
9408-SSNVZ,1,1,67,2227,Don't know
0742-MOABM,1,1,82,3394,Don't know
2232-DMLXU,1,1,81,3638,Poor expertise of online support
8937-RDTHP,1,1,66,2484,Poor expertise of phone support
1251-KRREG,1,1,81,2556,Price too high
0094-OIFMO,1,1,85,5980,Product dissatisfaction
9947-OTFQU,1,1,86,4616,Service dissatisfaction
0322-YINQP,1,1,77,5687,Lack of self-service on Website
4629-NRXKX,1,1,75,5687,Network reliability
9514-JDSKI,1,1,65,5828,Limited range of services
4959-JOSRX,1,1,99,4884,Lack of affordable download/upload speed
7273-TEFQD,1,1,96,2314,Long distance charges
3606-TWKGI,1,1,84,2494,Extra data charges
6323-AYBRX,1,1,83,5084,Price too high
4385-GZQXV,1,1,81,3810,Product dissatisfaction
6366-ZGQGL,1,1,73,5087,Service dissatisfaction
5940-AHUHD,1,1,69,3338,Lack of self-service on Website
6432-TWQLB,1,1,80,3676,Network reliability
4484-GLZOU,1,1,65,4839,Don't know
9512-UIBFX,1,1,68,4643,Don't know
5583-SXDAG,1,1,97,4094,Don't know
3488-PGMQJ,1,1,80,4345,Poor expertise of online support
3580-REOAC,1,1,83,4061,Poor expertise of phone support
7534-BFESC,1,1,98,2018,Price too high
6390-DSAZX,1,1,80,2565,Product dissatisfaction
8098-LLAZX,1,1,85,3677,Service dissatisfaction
0265-EDXBD,1,1,69,4105,Lack of self-service on Website
7563-BIUPC,1,1,69,5715,Network reliability
2321-OMBXY,1,1,81,2071,Limited range of services
2840-XANRC,1,1,73,2212,Lack of affordable download/upload speed
5020-ZSTTY,1,1,83,4149,Long distance charges
5804-LEPIM,1,1,73,2671,Extra data charges
0122-OAHPZ,1,1,67,2473,Price too high
2868-SNELZ,1,1,92,2683,Product dissatisfaction
4322-RCYMT,1,1,81,4903,Service dissatisfaction
6680-NENYN,1,1,91,5250,Lack of self-service on Website
1343-EHPYB,1,1,98,4352,Network reliability
2034-GDRCN,1,1,76,4157,Don't know
0219-YTZUE,1,1,73,4939,Don't know
0623-IIHUG,1,1,97,4778,Don't know
4572-DVCGN,1,1,85,3598,Poor expertise of online support
9057-MSWCO,1,1,91,2927,Poor expertise of phone support
1010-DIAUQ,1,1,98,5383,Price too high
0259-GBZSH,1,1,73,3878,Product dissatisfaction
9601-BRXPO,1,1,66,3642,Service dissatisfaction
6905-NIQIN,1,1,76,2431,Don't know
5167-ZFFMM,1,1,81,3424,Network reliability
4895-TMWIR,1,1,80,5888,Limited range of services
0533-BNWKF,1,1,100,5502,Lack of affordable download/upload speed
6599-CEBNN,1,1,94,5795,Long distance charges
0979-PHULV,1,1,80,4020,Extra data charges
4800-VHZKI,1,1,92,3351,Price too high
7989-CHGTL,1,1,95,3448,Product dissatisfaction
0334-GDDSO,1,1,73,2818,Service dissatisfaction
0578-SKVMF,1,1,88,3804,Lack of self-service on Website
5564-NEMQO,1,1,67,4902,Network reliability
9063-ZGTUY,1,1,82,4221,Don't know
2957-LOLHO,1,1,68,2887,Don't know
7752-XUSCI,1,1,84,4105,Don't know
4110-PFEUZ,1,1,73,2792,Competitor had better devices
0256-LTHVJ,1,1,98,5201,Competitor had better devices
0880-TKATG,1,1,84,4417,Competitor had better devices
3811-VBYBZ,1,1,98,2031,Competitor had better devices
4640-UHDOS,1,1,91,4498,Competitor had better devices
3583-EKAPL,1,1,71,4877,Competitor had better devices
9399-APLBT,1,1,80,5980,Competitor had better devices
2359-KMGLI,1,1,77,4418,Competitor had better devices
0306-JAELE,1,1,66,4192,Competitor had better devices
6227-HWPWX,1,1,73,5671,Competitor had better devices
0447-BEMNG,1,1,65,4926,Price too high
5949-XIKAE,1,1,65,2879,Product dissatisfaction
8372-JUXUI,1,1,93,2814,Service dissatisfaction
0388-EOPEX,1,1,77,4263,Lack of self-service on Website
8205-OTCHB,1,1,66,3099,Network reliability
6235-VDHOM,1,1,89,4099,Limited range of services
7783-YKGDV,1,1,76,2538,Lack of affordable download/upload speed
5609-CEBID,1,1,87,2666,Long distance charges
7218-HKQFK,1,1,72,3715,Don't know
4636-QRJKY,1,1,98,5032,Price too high
5956-VKDTT,1,1,82,5273,Product dissatisfaction
9412-GHEEC,1,1,88,3492,Service dissatisfaction
0257-ZESQC,1,1,99,4517,Lack of self-service on Website
6825-UYPFK,1,1,81,2115,Network reliability
8397-MVTAZ,1,1,72,2568,Don't know
9282-IZGQK,1,1,80,5679,Don't know
1342-JPNKI,1,1,85,2966,Don't know
2817-NTQDO,1,1,74,4856,Poor expertise of online support
6986-IJDHX,1,1,98,3364,Poor expertise of phone support
5301-GAUUY,1,1,92,5974,Competitor had better devices
0939-YAPAF,1,1,72,2744,Competitor offered higher download speeds
4710-FDUIZ,1,1,67,5170,Competitor offered more data
1218-VKFPE,1,1,72,3535,Competitor made better offer
3627-FHKBK,1,1,87,3244,Competitor had better devices
2865-TCHJW,1,1,74,5808,Competitor had better devices
5192-EBGOV,1,1,66,4880,Competitor offered higher download speeds
0719-SYFRB,1,1,67,5670,Competitor offered higher download speeds
3419-SNJJD,1,1,91,4196,Competitor offered higher download speeds
6543-CPZMK,1,1,83,2573,Competitor offered more data
4765-OXPPD,1,1,76,3983,Competitor offered more data
1009-IRMNA,1,1,100,4479,Competitor offered more data
4554-YGZIH,1,1,96,5059,Competitor made better offer
5099-BAILX,1,1,65,2728,Competitor made better offer
7207-RMRDB,1,1,89,5720,Competitor had better devices
4913-EHYUI,1,1,91,6268,Competitor offered higher download speeds
0195-IESCP,1,1,75,3573,Competitor offered more data
4580-TMHJU,1,1,65,2152,Don't know
0970-ETWGE,1,1,99,4996,Competitor had better devices
1626-ERCMM,1,1,84,5604,Competitor had better devices
0887-HJGAR,1,1,95,2295,Competitor offered higher download speeds
5644-PDMZC,1,1,80,2065,Competitor offered higher download speeds
9576-ANLXO,1,1,87,2876,Competitor offered higher download speeds
2024-BASKD,1,1,94,3860,Competitor offered more data
4160-AMJTL,1,1,83,5432,Competitor offered more data
4464-JCOLN,1,1,68,2362,Competitor offered more data
5650-VDUDS,1,1,93,2038,Competitor made better offer
7538-GWHML,1,1,80,2323,Competitor made better offer
3859-CVCET,1,1,78,2864,Competitor had better devices
3276-HDUEG,1,1,78,4838,Competitor offered higher download speeds
0823-HSCDJ,1,1,90,5597,Competitor offered more data
0822-GAVAP,1,1,65,3146,Competitor made better offer
1448-PWKYE,1,1,88,2046,Competitor had better devices
0067-DKWBL,1,1,89,3475,Competitor had better devices
2276-YDAVZ,1,1,69,4965,Competitor offered higher download speeds
5896-NPFWW,1,1,86,3273,Competitor offered higher download speeds
7133-VBDCG,1,1,85,4535,Competitor offered higher download speeds
1029-QFBEN,1,1,66,3556,Competitor offered more data
4952-YSOGZ,1,1,74,5640,Competitor offered more data
1589-AGTLK,1,1,67,2450,Competitor offered more data
5244-IRFIH,1,1,96,4333,Competitor made better offer
2684-EIWEO,1,1,97,2482,Competitor made better offer
6439-GTPCA,1,1,73,5269,Competitor had better devices
5138-WVKYJ,1,1,80,3658,Competitor offered higher download speeds
6683-VLCTZ,1,1,92,5444,Competitor offered more data
2189-WWOEW,1,1,96,3579,Don't know
1894-IGFSG,1,1,82,3161,Competitor had better devices
7379-POKDZ,1,1,66,3038,Competitor had better devices
0236-HFWSV,1,1,77,5264,Competitor offered higher download speeds
3900-AQPHZ,1,1,100,4248,Competitor offered higher download speeds
5842-POCOP,1,1,79,4356,Competitor offered higher download speeds
2037-XJFUP,1,1,76,4161,Competitor offered more data
7314-OXENN,1,1,97,3051,Competitor offered more data
0322-CHQRU,1,1,81,3478,Competitor offered more data
4678-DVQEO,1,1,71,4138,Competitor made better offer
0691-IFBQW,1,1,81,2403,Competitor made better offer
3009-JWMPU,1,1,92,5016,Attitude of service provider
1450-GALXR,1,1,74,5184,Attitude of service provider
3138-BKYAV,1,1,75,4694,Attitude of service provider
4289-DTDKW,1,1,70,2576,Attitude of support person
1820-TQVEV,1,1,76,3042,Attitude of support person
2239-JALAW,1,1,74,6105,Attitude of support person
4853-RULSV,1,1,80,4544,Attitude of service provider
6275-YDUVO,1,1,95,2969,Attitude of service provider
0115-TFERT,1,1,89,4123,Attitude of service provider
2311-QYMUQ,1,1,73,3696,Attitude of support person
3643-AHCFP,1,1,83,3265,Competitor made better offer
3104-OWCGK,1,1,76,4111,Moved
9101-BWFSS,1,1,82,4274,Moved
9231-ZJYAM,1,1,72,5301,Moved
6982-SSHFK,1,1,89,3522,Competitor offered higher download speeds
0727-BMPLR,1,1,83,5679,Competitor offered higher download speeds
1038-ZAGBI,1,1,94,2653,Competitor offered higher download speeds
3027-ZTDHO,1,1,80,5951,Don't know
2382-BCKQJ,1,1,91,5600,Competitor offered higher download speeds
2207-NHRJK,1,1,85,3718,Competitor offered higher download speeds
0947-MUGVO,1,1,95,5849,Competitor offered higher download speeds
9944-HKVVB,1,1,77,5861,Competitor offered higher download speeds
4124-MMETB,1,1,85,3665,Competitor offered higher download speeds
3671-SHRSP,1,1,86,3080,Competitor offered more data
3313-QKNKB,1,1,80,6304,Competitor offered more data
5073-WXOYN,1,1,67,4941,Competitor offered more data
0207-MDKNV,1,1,84,2122,Competitor made better offer
9851-KIELU,1,1,76,5803,Competitor made better offer
3908-BLSYF,1,1,97,3962,Price too high
7549-MYGPK,1,1,79,5413,Price too high
3804-RVTGV,1,1,100,5812,Price too high
9227-LUNBG,1,1,76,5768,Price too high
4315-MURBD,1,1,71,5559,Price too high
9734-YWGEX,1,1,81,2954,Price too high
2719-BDAQO,1,1,93,4940,Price too high
0781-LKXBR,1,1,70,4038,Price too high
1907-UBQFC,1,1,99,3189,Price too high
6513-EECDB,1,1,94,4369,Price too high
7074-IEVOJ,1,1,91,3501,Product dissatisfaction
9625-QSTYE,1,1,79,4806,Service dissatisfaction
4750-ZRXIU,1,1,83,2467,Lack of self-service on Website
6400-BWQKW,1,1,99,3263,Network reliability
6680-WKXRZ,1,1,97,2054,Don't know
7028-DVOIQ,1,1,82,2074,Don't know
4208-UFFGW,1,1,84,5900,Don't know
9448-REEVD,1,1,74,3700,Don't know
9117-SHLZX,1,1,72,3571,Poor expertise of phone support
9889-TMAHG,1,1,74,5084,Competitor had better devices
4541-RMRLG,1,1,82,4489,Competitor offered higher download speeds
3158-MOERK,1,1,83,3391,Competitor offered more data
7294-TMAOP,1,1,72,2627,Competitor made better offer
8919-FYFQZ,1,1,96,4829,Competitor had better devices
2834-JRTUA,1,1,81,5200,Competitor had better devices
5875-YPQFJ,1,1,84,5367,Competitor offered higher download speeds
6646-QVXLR,1,1,91,5052,Competitor offered higher download speeds
8603-IJWDN,1,1,93,5228,Competitor offered higher download speeds
9369-XFEHK,1,1,72,3601,Competitor offered more data
3842-IYKUE,1,1,88,2455,Competitor offered more data
6641-XRPSU,1,1,93,2318,Competitor offered more data
1374-DMZUI,1,1,99,5419,Competitor made better offer
8357-EQXFO,1,1,92,3077,Competitor made better offer
1989-PRJHP,1,1,65,2377,Competitor had better devices
9524-EGPJC,1,1,80,4260,Competitor offered higher download speeds
6993-OHLXR,1,1,84,5225,Competitor offered more data
8818-XYFCQ,1,1,71,5026,Competitor made better offer
4695-VADHF,1,1,84,2989,Competitor had better devices
3863-IUBJR,1,1,78,2595,Competitor had better devices
4822-RVYBB,1,1,90,5906,Competitor offered higher download speeds
8436-BJUMM,1,1,84,2404,Competitor offered higher download speeds
4184-TJFAN,1,1,68,4486,Competitor offered higher download speeds
4145-UQXUQ,1,1,81,5662,Competitor offered more data
9948-YPTDG,1,1,85,2405,Competitor offered more data
1236-WFCDV,1,1,96,4777,Competitor offered more data
4883-QICIH,1,1,96,2356,Don't know
8329-IBCTI,1,1,99,5881,Competitor made better offer
1271-SJBGZ,1,1,74,2437,Competitor had better devices
5669-SRAIP,1,1,93,2863,Competitor offered higher download speeds
5981-ITEMU,1,1,67,3099,Competitor offered more data
6941-PMGEP,1,1,97,3937,Competitor made better offer
1624-WOIWJ,1,1,69,5686,Competitor had better devices
2074-GKOWZ,1,1,73,3851,Competitor had better devices
0376-YMCJC,1,1,82,4359,Competitor offered higher download speeds
0634-SZPQA,1,1,67,4650,Competitor offered higher download speeds
5536-RTPWK,1,1,100,5157,Competitor offered higher download speeds
6166-ILMNY,1,1,68,5667,Competitor offered more data
3097-NNSPB,1,1,98,2960,Competitor offered more data
0655-RBDUG,1,1,86,2561,Competitor offered more data
4361-BKAXE,1,1,80,3038,Competitor made better offer
9878-TNQGW,1,1,65,3533,Competitor made better offer
4441-NIHPT,1,1,97,2995,Competitor had better devices
8999-BOHSE,1,1,89,2202,Competitor offered higher download speeds
7029-RPUAV,1,1,87,5508,Competitor offered more data
4607-CHPCA,1,1,100,5801,Competitor made better offer
8824-RWFXJ,1,1,83,2539,Competitor had better devices
9763-PDTKK,1,1,74,4249,Competitor had better devices
7627-JKIAZ,1,1,97,3982,Competitor offered higher download speeds
4081-DYXAV,1,1,72,5182,Competitor offered higher download speeds
8111-SLLHI,1,1,96,4687,Competitor offered higher download speeds
0927-LCSMG,1,1,75,3331,Competitor offered more data
8257-RZAHR,1,1,86,4049,Competitor offered more data
5293-WXJAK,1,1,82,4553,Competitor offered more data
0841-NULXI,1,1,71,3958,Don't know
7851-WZEKY,1,1,82,2414,Competitor made better offer
8844-TONUD,1,1,75,5295,Attitude of service provider
4086-YQSNZ,1,1,89,3834,Attitude of service provider
5868-CZJDR,1,1,85,3605,Attitude of service provider
0135-NMXAP,1,1,97,5671,Attitude of support person
6270-OMFIW,1,1,99,4990,Attitude of support person
0107-WESLM,1,1,66,3874,Attitude of support person
3992-YWPKO,1,1,69,5750,Attitude of service provider
0125-LZQXK,1,1,99,3025,Attitude of service provider
8399-YNDCH,1,1,70,4716,Attitude of service provider
5673-FSSMF,1,1,91,4611,Attitude of support person
1579-KLYDT,1,1,98,5356,Competitor made better offer
3927-NLNRY,1,1,96,5414,Moved
6358-LYNGM,1,1,84,2548,Moved
5494-HECPR,1,1,69,2502,Moved
9824-BEMCV,1,1,77,3368,Competitor offered higher download speeds
1373-ORVIZ,1,1,91,2860,Competitor offered higher download speeds
9866-QEVEE,1,1,98,4857,Competitor offered higher download speeds
9897-KXHCM,1,1,72,3212,Competitor offered higher download speeds
7979-CORPM,1,1,67,5927,Don't know
1618-CFHME,1,1,86,2101,Don't know
3165-HDOEW,1,1,73,3706,Don't know
6581-NQCBA,1,1,78,4840,Don't know
1689-MRZQR,1,1,77,2777,Don't know
5835-BEQEU,1,1,92,4428,Don't know
5565-FILXA,1,1,96,5913,Don't know
5552-ZNFSJ,1,1,66,4568,Don't know
2223-KAGMX,1,1,87,5379,Don't know
7321-PKUYW,1,1,66,5250,Competitor offered higher download speeds
2833-SLKDQ,1,1,98,4094,Network reliability
7595-EUIVN,1,1,70,3940,Network reliability
2026-TGDHM,1,1,69,3830,Network reliability
4030-VPZBD,1,1,98,2860,Network reliability
4187-CINZD,1,1,90,3180,Network reliability
6818-WOBHJ,1,1,69,5651,Network reliability
2408-TZMJL,1,1,97,4601,Network reliability
9134-CEQMF,1,1,89,3077,Network reliability
7993-PYKOF,1,1,80,2587,Network reliability
5027-XWQHA,1,1,78,2087,Network reliability
4566-QVRRW,1,1,84,3200,Network reliability
8519-IMDHU,1,1,83,4981,Network reliability
0201-OAMXR,1,1,87,4838,Network reliability
3372-KWFBM,1,1,81,2508,Network reliability
7831-QGOXH,1,1,77,3326,Don't know
6393-WRYZE,1,1,87,3979,Don't know
6599-RCLCJ,1,1,90,5863,Don't know
9831-BPFRI,1,1,65,3849,Poor expertise of online support
1725-MIMXW,1,1,78,5687,Poor expertise of phone support
0031-PVLZI,1,1,81,4133,Competitor had better devices
7206-GZCDC,1,1,75,4371,Competitor offered higher download speeds
4791-QRGMF,1,1,76,6098,Competitor offered more data
1768-ZAIFU,1,1,67,5688,Competitor made better offer
4671-LXRDQ,1,1,93,5704,Competitor had better devices
1934-SJVJK,1,1,70,4103,Competitor had better devices
3838-OZURD,1,1,96,5723,Competitor offered higher download speeds
9269-CQOOL,1,1,66,3335,Competitor offered higher download speeds
2845-HSJCY,1,1,78,4786,Competitor offered higher download speeds
1184-PJVDB,1,1,68,5640,Competitor offered more data
9415-DPEWS,1,1,96,5727,Competitor offered more data
7943-RQCHR,1,1,83,2893,Competitor offered more data
3793-MMFUH,1,1,97,2230,Competitor made better offer
3249-ZPQRG,1,1,67,5048,Competitor made better offer
2568-BRGYX,1,1,92,5094,Competitor had better devices
7721-JXEAW,1,1,70,4324,Competitor offered higher download speeds
7249-WBIYX,1,1,70,5146,Competitor offered more data
6567-HOOPW,1,1,76,4363,Competitor made better offer
3164-AALRN,1,1,77,2673,Competitor had better devices
3334-CTHOL,1,1,71,2041,Competitor had better devices
4704-ERYFC,1,1,85,2159,Competitor offered higher download speeds
8621-MNIHH,1,1,88,3369,Competitor offered higher download speeds
0471-LVHGK,1,1,86,2041,Competitor offered higher download speeds
9518-RWHZL,1,1,69,5452,Competitor offered more data
5419-CONWX,1,1,89,2268,Competitor offered more data
6240-EURKS,1,1,76,2649,Competitor offered more data
6960-HVYXR,1,1,72,2567,Competitor made better offer
7024-OHCCK,1,1,72,4193,Don't know
7861-UVUFT,1,1,86,4003,Competitor had better devices
5357-TZHPP,1,1,83,5745,Competitor offered higher download speeds
0680-DFNNY,1,1,97,2055,Competitor offered more data
7767-UXAGJ,1,1,68,2928,Competitor made better offer
1571-SAVHK,1,1,80,5598,Competitor had better devices
9546-CQJSU,1,1,80,5100,Competitor had better devices
0506-LVNGN,1,1,97,4028,Competitor offered higher download speeds
2951-QOQTK,1,1,72,5436,Competitor offered higher download speeds
3473-XIIIT,1,1,68,3794,Competitor offered higher download speeds
7893-IXHRQ,1,1,87,5636,Competitor offered more data
2952-QAYZF,1,1,81,2264,Competitor offered more data
4763-PGDPO,1,1,88,4494,Competitor offered more data
5394-SVGJV,1,1,82,3066,Competitor made better offer
9283-LZQOH,1,1,89,3687,Competitor made better offer
7079-QRCBC,1,1,85,4016,Competitor had better devices
5469-CTCWN,1,1,92,4334,Competitor offered higher download speeds
9851-QXEEQ,1,1,84,3316,Competitor offered more data
9809-IMGCQ,1,1,93,4458,Competitor made better offer
5208-HFSBT,1,1,81,5855,Competitor had better devices
3254-YRILK,1,1,69,5683,Competitor had better devices
2667-WYLWJ,1,1,89,2247,Competitor offered higher download speeds
0529-ONKER,1,1,96,2099,Competitor offered higher download speeds
5240-IJOQT,1,1,88,3348,Competitor offered higher download speeds
1092-GANHU,1,1,87,3182,Competitor offered more data
0661-XEYAN,1,1,97,3884,Competitor offered more data
7881-EVUAD,1,1,79,4648,Competitor offered more data
5766-XQXMQ,1,1,79,5449,Competitor made better offer
3703-VAVCL,1,1,99,3902,Competitor made better offer
8519-QJGJD,1,1,71,4995,Attitude of service provider
6326-MTTXK,1,1,97,3849,Attitude of service provider
0330-IVZHA,1,1,81,2969,Attitude of service provider
2886-KEFUM,1,1,96,6144,Attitude of support person
4237-RLAQD,1,1,94,5930,Attitude of support person
9651-GTSAQ,1,1,94,4471,Attitude of support person
3186-BAXNB,1,1,71,4319,Attitude of service provider
0637-YLETY,1,1,96,5915,Attitude of service provider
1157-BQCUW,1,1,82,2591,Attitude of service provider
2660-EMUBI,1,1,75,5353,Attitude of support person
7675-OZCZG,1,1,77,4145,Competitor made better offer
2003-CKLOR,1,1,73,4001,Moved
9254-RBFON,1,1,91,5160,Moved
1205-WNWPJ,1,1,91,4661,Moved
9391-EOYLI,1,1,69,5374,Competitor made better offer
8387-MOJJT,1,1,82,5396,Competitor made better offer
2761-OCIAX,1,1,81,2803,Competitor made better offer
3068-OMWZA,1,1,91,3106,Competitor made better offer
6032-KRXXO,1,1,84,5654,Competitor made better offer
7459-RRWQZ,1,1,89,4780,Competitor made better offer
4154-AQUGT,1,1,82,3861,Competitor made better offer
3092-IGHWF,1,1,65,4421,Competitor made better offer
8017-LXHFA,1,1,95,2740,Competitor made better offer
6352-TWCAU,1,1,68,5874,Competitor made better offer
2929-QNSRW,1,1,97,4886,Competitor made better offer
1262-OPMFY,1,1,96,5105,Competitor made better offer
4248-QPAVC,1,1,70,3209,Competitor made better offer
1899-VXWXM,1,1,69,5898,Competitor made better offer
4690-LLKUA,1,1,65,3797,Extra data charges
3331-HQDTW,1,1,78,3410,Extra data charges
9490-DFPMD,1,1,76,4871,Extra data charges
5442-XSDCW,1,1,68,3469,Extra data charges
3049-NDXFL,1,1,99,2850,Extra data charges
8580-AECUZ,1,1,84,5001,Extra data charges
7963-GQRMY,1,1,88,4903,Extra data charges
1228-FZFRV,1,1,79,5536,Extra data charges
2058-DCJBE,1,1,99,3965,Extra data charges
5364-XYIRR,1,1,100,4747,Extra data charges
4829-AUOAX,1,1,77,2712,Extra data charges
5047-LHVLY,1,1,98,3438,Extra data charges
9158-VCTQB,1,1,96,4963,Extra data charges
6311-UEUME,1,1,90,3249,Extra data charges
6839-ITVZJ,1,1,71,2039,Don't know
0375-HVGXO,1,1,81,4476,Don't know
8593-WHYHV,1,1,67,4934,Don't know
6097-EQISJ,1,1,82,4688,Attitude of support person
4423-YLHDV,1,1,67,5570,Attitude of support person
0107-YHINA,1,1,93,4214,Attitude of support person
8640-SDGKB,1,1,69,3633,Attitude of support person
4116-TZAQJ,1,1,76,5393,Attitude of support person
3877-JRJIP,1,1,71,4017,Attitude of support person
8375-DKEBR,1,1,96,3438,Attitude of support person
7511-YMXVQ,1,1,81,5028,Attitude of support person
7551-JOHTI,1,1,77,5211,Attitude of support person
9804-ICWBG,1,1,88,3349,Attitude of support person
5318-IXUZF,1,1,72,4149,Don't know
3198-VELRD,1,1,100,2014,Attitude of support person
9436-ZBZCT,1,1,97,5463,Attitude of support person
7279-BUYWN,1,1,89,3380,Attitude of support person
7156-MHUGY,1,1,76,5394,Attitude of support person
7198-GLXTC,1,1,92,5239,Attitude of support person
0516-VRYBW,1,1,85,4931,Attitude of support person
8380-PEFPE,1,1,93,2377,Attitude of support person
5687-DKDTV,1,1,76,5984,Attitude of support person
7530-HDYDS,1,1,70,2885,Attitude of support person
3096-IZETN,1,1,89,4741,Attitude of support person
5922-ABDVO,1,1,74,3046,Attitude of support person
9172-ANCRX,1,1,68,5561,Attitude of support person
6910-HADCM,1,1,67,5613,Attitude of support person
4816-LXZYW,1,1,68,5216,Attitude of support person
9606-PBKBQ,1,1,94,4584,Attitude of support person
3536-IQCTX,1,1,75,2712,Attitude of support person
4911-BANWH,1,1,74,4198,Attitude of support person
8496-EJAUI,1,1,89,2251,Attitude of support person
3132-TVFDZ,1,1,82,5172,Attitude of support person
8080-DDEMJ,1,1,79,4499,Attitude of support person
6365-MTGZX,1,1,71,3068,Attitude of support person
1349-WXNGG,1,1,66,4710,Attitude of support person
6990-YNRIO,1,1,79,6120,Attitude of support person
0621-TWIEM,1,1,67,4097,Attitude of support person
2485-ITVKB,1,1,78,2643,Attitude of support person
3669-OYSJI,1,1,76,4167,Attitude of support person
1612-EOHDH,1,1,89,5828,Attitude of support person
6702-OHFWR,1,1,91,4972,Don't know
4510-PYUSH,1,1,75,3110,Attitude of support person
7517-SAWMO,1,1,97,4718,Attitude of support person
4143-HHPMK,1,1,98,6402,Attitude of support person
7054-LGEQW,1,1,69,4888,Attitude of support person
0923-PNFUB,1,1,65,4852,Attitude of support person
3494-JCHRQ,1,1,69,2699,Attitude of support person
6474-FVJLC,1,1,77,4546,Attitude of support person
8840-DQLGN,1,1,81,4745,Attitude of support person
4547-LYTDD,1,1,73,2850,Attitude of support person
6770-XUAGN,1,1,90,3753,Attitude of support person
4193-ORFCL,1,1,70,2740,Attitude of support person
7776-QWNFX,1,1,83,4795,Attitude of support person
6689-TCZHQ,1,1,65,4054,Attitude of support person
3143-ILDAL,1,1,96,4830,Attitude of support person
4720-VSTSI,1,1,66,3997,Attitude of support person
3946-MHCZW,1,1,83,5111,Attitude of support person
6651-AZVTJ,1,1,83,6088,Attitude of support person
4566-GOLUK,1,1,98,3620,Attitude of support person
2484-DGXPZ,1,1,67,2687,Attitude of support person
4587-NUKOX,1,1,74,5339,Attitude of support person
0420-BWTPW,1,1,78,5578,Attitude of support person
8183-ONMXC,1,1,87,2176,Attitude of support person
9614-RMGHA,1,1,82,5530,Attitude of support person
5054-IEXZT,1,1,90,5284,Attitude of support person
5834-ASPWA,1,1,74,5518,Attitude of support person
3948-XHGNA,1,1,80,5005,Attitude of support person
0565-IYCGT,1,1,93,6230,Attitude of support person
5445-UTODQ,1,1,87,3238,Don't know
1024-VRZHF,1,1,70,2044,Attitude of support person
9497-QCMMS,1,1,81,5536,Competitor made better offer
0348-SDKOL,1,1,96,4415,Moved
4373-MAVJG,1,1,70,5148,Moved
8901-HJXTF,1,1,94,3747,Moved
5419-KLXBN,1,1,97,5853,Competitor offered higher download speeds
3424-NMNBO,1,1,91,4739,Competitor offered higher download speeds
4514-GFCFI,1,1,99,5136,Competitor offered higher download speeds
9828-AOQLM,1,1,99,3187,Competitor offered higher download speeds
