customer_id,gender,senior_citizen,partner,dependents,tenure_months,country,state,city,zip_code,latitude,longitude
2135-RXIHG,Male,0,0,0,1,United States,California,Carson,90745,33.822295,-118.26411
3874-EQOEP,Male,0,0,1,7,United States,California,Long Beach,90804,33.783047,-118.1486
0867-MKZVY,Female,0,1,1,20,United States,California,Altadena,91001,34.196837,-118.142236
3376-BMGFE,Female,0,0,1,4,United States,California,Monrovia,91016,34.1528,-118.000482
3445-HXXGF,Male,1,1,0,58,United States,California,Sierra Madre,91024,34.168686,-118.057505
1875-QIVME,Female,0,1,1,2,United States,California,Tujunga,91042,34.296574,-118.244839
0691-JVSYA,Female,0,1,0,53,United States,California,Pasadena,91103,34.167465,-118.165327
2656-FMOKZ,Female,1,0,1,15,United States,California,Pasadena,91106,34.139402,-118.128658
2070-FNEXE,Female,1,0,1,7,United States,California,Pasadena,91107,34.159007,-118.087353
6317-YPKDH,Female,0,0,0,1,United States,California,Glendale,91202,34.167926,-118.267539
9367-WXLCH,Male,0,0,1,8,United States,California,Glendale,91204,34.136306,-118.26036
1918-ZBFQJ,Female,0,0,1,13,United States,California,Glendale,91206,34.162515,-118.203869
1024-GUALD,Female,0,1,0,1,United States,California,Glendale,91207,34.182378,-118.262922
2472-OVKUP,Male,0,1,1,6,United States,California,Canoga Park,91304,34.224377,-118.632656
1285-OKIPP,Male,0,0,1,1,United States,California,Mission Hills,91345,34.266389,-118.459744
7825-ECJRF,Female,0,0,1,19,United States,California,Santa Clarita,91350,34.502432,-118.41459
7841-TZDMQ,Male,0,0,0,2,United States,California,Sun Valley,91352,34.231053,-118.338307
9408-SSNVZ,Female,0,0,1,4,United States,California,Stevenson Ranch,91381,34.364153,-118.615583
0742-MOABM,Male,0,1,0,4,United States,California,Panorama City,91402,34.223768,-118.445461
2232-DMLXU,Female,0,1,0,1,United States,California,Van Nuys,91411,34.17847,-118.459472
8937-RDTHP,Male,0,0,1,1,United States,California,Burbank,91504,34.213049,-118.317651
1251-KRREG,Male,0,0,0,2,United States,California,North Hollywood,91601,34.1692,-118.372498
0094-OIFMO,Female,1,0,1,11,United States,California,North Hollywood,91605,34.207295,-118.400022
9947-OTFQU,Male,1,0,0,15,United States,California,Covina,91722,34.097345,-117.906736
0322-YINQP,Male,0,0,0,1,United States,California,Covina,91723,34.084747,-117.886844
4629-NRXKX,Female,0,1,0,2,United States,California,El Monte,91731,34.079934,-118.046695
9514-JDSKI,Male,1,1,0,1,United States,California,El Monte,91732,34.074492,-118.01462
4959-JOSRX,Female,0,1,0,2,United States,California,La Puente,91744,34.031441,-117.936436
7273-TEFQD,Male,1,0,0,3,United States,California,La Puente,91746,34.038983,-117.991372
3606-TWKGI,Male,1,0,0,13,United States,California,Rowland Heights,91748,33.976753,-117.897367
6323-AYBRX,Male,0,0,0,59,United States,California,Ontario,91762,34.057256,-117.667677
4385-GZQXV,Female,1,0,0,16,United States,California,Ontario,91764,34.074087,-117.605618
6366-ZGQGL,Male,0,0,0,1,United States,California,Pomona,91766,34.042286,-117.756106
5940-AHUHD,Male,0,0,0,1,United States,California,Pomona,91768,34.067932,-117.785168
6432-TWQLB,Male,0,1,0,5,United States,California,Rosemead,91770,34.065108,-118.082791
4484-GLZOU,Female,0,1,0,52,United States,California,San Dimas,91773,34.102119,-117.815532
9512-UIBFX,Male,0,1,0,18,United States,California,West Covina,91791,34.061634,-117.893169
5583-SXDAG,Male,0,1,0,1,United States,California,Alhambra,91803,34.074736,-118.145959
3488-PGMQJ,Male,1,0,0,8,United States,California,Alpine,91901,32.827184,-116.703729
3580-REOAC,Male,0,0,0,10,United States,California,Bonita,91902,32.67117,-117.00232
7534-BFESC,Male,1,0,0,24,United States,California,Boulevard,91905,32.677097,-116.304991
6390-DSAZX,Female,0,0,0,1,United States,California,Guatay,91931,32.857946,-116.561917
8098-LLAZX,Female,1,0,0,4,United States,California,Jacumba,91934,32.649787,-116.2237
0265-EDXBD,Male,1,1,0,32,United States,California,Mount Laguna,91948,32.830852,-116.444601
7563-BIUPC,Male,0,0,0,5,United States,California,Borrego Springs,92004,33.200369,-116.192313
2321-OMBXY,Female,0,1,0,38,United States,California,Carlsbad,92009,33.098018,-117.258203
2840-XANRC,Male,1,1,0,24,United States,California,Del Mar,92014,32.948262,-117.256086
5020-ZSTTY,Female,1,0,0,54,United States,California,El Cajon,92020,32.79697,-116.969082
5804-LEPIM,Female,1,0,0,2,United States,California,Escondido,92029,33.079834,-117.134275
0122-OAHPZ,Female,0,0,0,7,United States,California,Oceanside,92057,33.254497,-117.285879
2868-SNELZ,Female,0,0,0,2,United States,California,Pala,92059,33.384345,-117.072619
4322-RCYMT,Male,0,1,0,68,United States,California,Palomar Mountain,92060,33.309852,-116.823091
6680-NENYN,Female,0,0,0,43,United States,California,Pauma Valley,92061,33.313828,-116.940501
1343-EHPYB,Male,0,1,0,63,United States,California,Ranchita,92066,33.215251,-116.53633
2034-GDRCN,Female,0,0,0,2,United States,California,Valley Center,92082,33.25283,-116.986079
0219-YTZUE,Male,0,1,0,4,United States,California,San Diego,92103,32.747484,-117.166877
0623-IIHUG,Female,1,0,0,21,United States,California,San Diego,92104,32.741499,-117.127409
4572-DVCGN,Female,0,0,0,10,United States,California,San Diego,92105,32.741859,-117.090353
9057-MSWCO,Male,1,1,0,27,United States,California,San Diego,92108,32.774046,-117.142454
1010-DIAUQ,Male,0,0,0,5,United States,California,San Diego,92116,32.765299,-117.122565
0259-GBZSH,Male,0,0,0,2,United States,California,San Diego,92122,32.85723,-117.209774
9601-BRXPO,Female,0,1,0,25,United States,California,San Diego,92129,32.961064,-117.134917
6905-NIQIN,Male,0,0,0,1,United States,California,San Diego,92154,32.578103,-117.012975
5167-ZFFMM,Male,0,0,0,1,United States,California,Indio,92201,33.713891,-116.237257
4895-TMWIR,Male,1,1,0,11,United States,California,Indian Wells,92210,33.537646,-116.291089
0533-BNWKF,Female,1,1,0,55,United States,California,Palm Desert,92211,33.762759,-116.324817
6599-CEBNN,Female,0,0,0,34,United States,California,Desert Hot Springs,92240,33.948558,-116.516976
0979-PHULV,Male,0,1,0,69,United States,California,Holtville,92250,32.811001,-115.152865
4800-VHZKI,Female,0,0,0,1,United States,California,Niland,92257,33.345825,-115.596574
7989-CHGTL,Male,0,0,0,1,United States,California,North Palm Springs,92258,33.906496,-116.569499
0334-GDDSO,Male,1,0,0,3,United States,California,Ocotillo,92259,32.698964,-115.886656
0578-SKVMF,Female,0,1,0,22,United States,California,Seeley,92273,32.790282,-115.689559
5564-NEMQO,Female,1,0,0,1,United States,California,Thermal,92274,33.53604,-116.119222
9063-ZGTUY,Female,0,1,0,61,United States,California,Adelanto,92301,34.667815,-117.536183
2957-LOLHO,Male,0,0,0,12,United States,California,Apple Valley,92307,34.55082,-117.122396
7752-XUSCI,Female,0,0,0,60,United States,California,Crestline,92325,34.248061,-117.29028
4110-PFEUZ,Female,0,0,0,1,United States,California,Daggett,92327,34.875144,-116.821698
0256-LTHVJ,Female,0,1,0,28,United States,California,Ludlow,92338,34.702766,-116.093376
0880-TKATG,Male,0,1,0,4,United States,California,Lucerne Valley,92356,34.508417,-116.856103
3811-VBYBZ,Male,0,0,0,7,United States,California,Lytle Creek,92358,34.238162,-117.534306
4640-UHDOS,Female,0,1,0,13,United States,California,Phelan,92371,34.441123,-117.537886
3583-EKAPL,Male,0,0,0,1,United States,California,Redlands,92373,34.003243,-117.138286
9399-APLBT,Female,0,1,0,1,United States,California,Rialto,92377,34.156758,-117.404686
2359-KMGLI,Male,0,0,0,24,United States,California,Running Springs,92382,34.186211,-117.07683
0306-JAELE,Male,0,0,0,5,United States,California,Tecopa,92389,35.824572,-116.274755
6227-HWPWX,Female,0,0,0,15,United States,California,Victorville,92392,34.486835,-117.362274
0447-BEMNG,Female,0,1,0,48,United States,California,Wrightwood,92397,34.358321,-117.618263
5949-XIKAE,Female,0,1,0,8,United States,California,San Bernardino,92401,34.105935,-117.2914
8372-JUXUI,Male,0,0,0,1,United States,California,San Bernardino,92410,34.106922,-117.297553
0388-EOPEX,Female,0,1,0,2,United States,California,Riverside,92503,33.890046,-117.455583
8205-OTCHB,Male,0,0,0,22,United States,California,Riverside,92506,33.930931,-117.361788
6235-VDHOM,Female,1,0,0,5,United States,California,Riverside,92509,34.004379,-117.447864
7783-YKGDV,Female,0,0,0,12,United States,California,March Air Reserve Base,92518,33.888323,-117.277533
5609-CEBID,Female,1,0,0,20,United States,California,Hemet,92544,33.644585,-116.871544
7218-HKQFK,Male,0,1,0,2,United States,California,Homeland,92548,33.761894,-117.120868
4636-QRJKY,Female,0,1,0,6,United States,California,Idyllwild,92549,33.755039,-116.741796
5956-VKDTT,Female,1,1,0,5,United States,California,Moreno Valley,92557,33.970661,-117.255039
9412-GHEEC,Male,0,0,0,40,United States,California,Murrieta,92563,33.581045,-117.14719
0257-ZESQC,Female,1,1,0,27,United States,California,Perris,92571,33.828289,-117.201666
6825-UYPFK,Female,0,0,0,23,United States,California,Sun City,92586,33.707483,-117.200006
8397-MVTAZ,Male,0,1,0,34,United States,California,Sun City,92587,33.69887,-117.25071
9282-IZGQK,Female,0,0,0,1,United States,California,Irvine,92612,33.643095,-117.810896
1342-JPNKI,Male,0,0,0,10,United States,California,Lake Forest,92630,33.644849,-117.684254
2817-NTQDO,Male,0,0,0,13,United States,California,Huntington Beach,92646,33.666301,-117.969501
6986-IJDHX,Male,0,1,0,39,United States,California,Huntington Beach,92648,33.679659,-118.016195
5301-GAUUY,Male,0,0,0,32,United States,California,Newport Beach,92661,33.601309,-117.902304
0939-YAPAF,Female,0,0,0,35,United States,California,Santa Ana,92701,33.748478,-117.858918
4710-FDUIZ,Male,0,1,0,56,United States,California,Santa Ana,92707,33.714829,-117.872941
1218-VKFPE,Female,0,1,0,12,United States,California,Anaheim,92805,33.830209,-117.906099
3627-FHKBK,Female,0,0,0,1,United States,California,Anaheim,92806,33.83796,-117.870494
2865-TCHJW,Female,1,0,0,4,United States,California,Anaheim,92807,33.848733,-117.788357
5192-EBGOV,Female,1,0,0,1,United States,California,Brea,92823,33.924143,-117.79387
0719-SYFRB,Female,0,0,0,12,United States,California,Norco,92860,33.925833,-117.559639
3419-SNJJD,Female,1,1,0,65,United States,California,Yorba Linda,92887,33.884073,-117.732197
6543-CPZMK,Male,0,1,0,9,United States,California,Ventura,93001,34.360261,-119.306383
4765-OXPPD,Female,0,1,0,9,United States,California,Ventura,93003,34.279221,-119.221437
1009-IRMNA,Female,0,0,0,7,United States,California,Port Hueneme,93041,34.110124,-119.100972
4554-YGZIH,Male,1,1,0,49,United States,California,Summerland,93067,34.420998,-119.60137
5099-BAILX,Male,1,1,0,43,United States,California,Santa Barbara,93101,34.419203,-119.710008
7207-RMRDB,Female,0,1,0,65,United States,California,Santa Barbara,93110,34.437945,-119.77191
4913-EHYUI,Male,1,1,0,56,United States,California,Alpaugh,93201,35.869626,-119.498771
0195-IESCP,Male,0,1,0,10,United States,California,Armona,93202,36.315979,-119.710852
4580-TMHJU,Female,0,1,0,43,United States,California,Avenal,93204,35.916943,-120.129921
0970-ETWGE,Male,0,0,0,1,United States,California,Bodfish,93205,35.523991,-118.400432
1626-ERCMM,Male,1,1,0,20,United States,California,Camp Nelson,93208,36.057458,-118.591951
0887-HJGAR,Male,0,0,0,1,United States,California,Coalinga,93210,36.186867,-120.387793
5644-PDMZC,Female,1,0,0,2,United States,California,Delano,93215,35.772244,-119.209689
9576-ANLXO,Female,0,0,0,3,United States,California,Earlimart,93219,35.858054,-119.305858
2024-BASKD,Female,0,0,0,1,United States,California,Exeter,93221,36.301689,-119.018233
4160-AMJTL,Female,1,0,0,8,United States,California,Fellows,93224,35.215731,-119.57013
4464-JCOLN,Male,0,1,0,2,United States,California,Huron,93234,36.217864,-120.080117
5650-VDUDS,Female,0,0,0,4,United States,California,Kernville,93238,35.852892,-118.397782
7538-GWHML,Female,0,0,0,2,United States,California,Lemon Cove,93244,36.462671,-118.997291
3859-CVCET,Female,0,0,0,4,United States,California,Lindsay,93247,36.205465,-119.085807
3276-HDUEG,Female,0,0,0,1,United States,California,Maricopa,93252,34.737031,-119.460557
0823-HSCDJ,Male,1,0,0,52,United States,California,Onyx,93255,35.676978,-118.101378
0822-GAVAP,Female,0,0,0,2,United States,California,Posey,93260,35.861928,-118.636698
1448-PWKYE,Male,0,1,0,1,United States,California,Shafter,93263,35.490705,-119.286833
0067-DKWBL,Male,1,0,0,2,United States,California,Tipton,93272,36.047414,-119.344304
2276-YDAVZ,Female,0,0,0,3,United States,California,Wofford Heights,93285,35.690535,-118.552784
5896-NPFWW,Male,0,1,0,3,United States,California,Visalia,93292,36.37559,-119.211689
7133-VBDCG,Female,0,0,0,25,United States,California,Bakersfield,93311,35.16207,-119.194488
1029-QFBEN,Male,0,0,0,1,United States,California,San Luis Obispo,93405,35.236549,-120.727344
4952-YSOGZ,Female,0,1,0,4,United States,California,Lompoc,93436,34.601055,-120.382917
1589-AGTLK,Male,0,0,0,3,United States,California,Lompoc,93437,34.757477,-120.550507
5244-IRFIH,Male,1,1,0,33,United States,California,Los Alamos,93440,34.758699,-120.275839
2684-EIWEO,Female,1,0,0,30,United States,California,Oceano,93445,35.059695,-120.604741
6439-GTPCA,Female,0,0,0,45,United States,California,Pismo Beach,93449,35.165668,-120.655842
5138-WVKYJ,Male,0,0,0,10,United States,California,Mojave,93501,35.097323,-118.171288
6683-VLCTZ,Male,1,0,0,20,United States,California,Johannesburg,93528,35.363339,-117.637641
2189-WWOEW,Female,0,0,0,15,United States,California,Keene,93531,35.214982,-118.59049
1894-IGFSG,Female,0,0,0,22,United States,California,Lancaster,93535,34.712708,-117.889656
7379-POKDZ,Male,0,1,0,3,United States,California,Lancaster,93536,34.741406,-118.38111
0236-HFWSV,Male,0,0,0,15,United States,California,Palmdale,93552,34.557711,-118.029441
3900-AQPHZ,Female,0,0,0,1,United States,California,Pearblossom,93553,34.445239,-117.894868
5842-POCOP,Female,0,1,0,5,United States,California,Randsburg,93554,35.405722,-117.773354
2037-XJFUP,Male,0,1,0,33,United States,California,Ridgecrest,93555,35.603913,-117.67828
7314-OXENN,Male,0,0,0,2,United States,California,Trona,93562,35.74837,-117.384948
0322-CHQRU,Male,0,0,0,2,United States,California,Palmdale,93591,34.598221,-117.79593
4678-DVQEO,Female,0,0,0,1,United States,California,Bass Lake,93604,37.458367,-119.345011
0691-IFBQW,Female,1,0,0,46,United States,California,Biola,93606,36.798882,-120.019511
3009-JWMPU,Male,0,0,0,62,United States,California,Five Points,93624,36.397745,-120.119911
1450-GALXR,Female,0,0,0,10,United States,California,Friant,93626,37.027663,-119.69056
3138-BKYAV,Male,0,0,0,6,United States,California,Kerman,93630,36.727418,-120.123526
4289-DTDKW,Male,0,1,0,40,United States,California,Madera,93637,36.902954,-120.194274
1820-TQVEV,Male,0,0,0,1,United States,California,Madera,93638,37.004068,-119.930027
2239-JALAW,Male,0,0,0,58,United States,California,Mendota,93640,36.687292,-120.437354
4853-RULSV,Male,0,0,0,70,United States,California,Miramonte,93641,36.696759,-119.024051
6275-YDUVO,Female,0,0,0,2,United States,California,Orosi,93647,36.600185,-119.175655
0115-TFERT,Male,0,1,0,21,United States,California,Fresno,93650,36.841655,-119.797113
2311-QYMUQ,Female,0,1,0,16,United States,California,San Joaquin,93660,36.600193,-120.153393
3643-AHCFP,Male,1,1,0,7,United States,California,Selma,93662,36.545322,-119.642281
3104-OWCGK,Male,0,1,0,60,United States,California,South Dos Palos,93665,36.959731,-120.653519
9101-BWFSS,Female,0,1,0,50,United States,California,Tollhouse,93667,36.993666,-119.348267
9231-ZJYAM,Female,1,0,0,4,United States,California,Squaw Valley,93675,36.719141,-119.202677
6982-SSHFK,Male,0,0,0,1,United States,California,Fresno,93703,36.768774,-119.762633
0727-BMPLR,Female,1,0,0,55,United States,California,Fresno,93706,36.654614,-119.903674
1038-ZAGBI,Female,0,1,0,12,United States,California,Fresno,93711,36.833002,-119.82947
3027-ZTDHO,Male,0,0,0,1,United States,California,Fresno,93721,36.732694,-119.783786
2382-BCKQJ,Female,0,0,0,62,United States,California,Big Sur,93920,36.092975,-121.549826
2207-NHRJK,Male,0,0,0,1,United States,California,Carmel,93923,36.460611,-121.852507
0947-MUGVO,Male,1,1,0,20,United States,California,Jolon,93928,35.930782,-121.189757
9944-HKVVB,Female,0,0,0,3,United States,California,King City,93930,36.220761,-120.980777
4124-MMETB,Male,0,0,0,22,United States,California,Lockwood,93932,35.989792,-121.055933
3671-SHRSP,Male,0,1,0,4,United States,California,Marina,93933,36.689582,-121.758398
3313-QKNKB,Male,0,1,0,59,United States,California,Pebble Beach,93953,36.587497,-121.944815
5073-WXOYN,Female,0,0,0,60,United States,California,Belmont,94002,37.509366,-122.306132
0207-MDKNV,Female,0,0,0,15,United States,California,Daly City,94014,37.691561,-122.445202
9851-KIELU,Male,0,0,0,10,United States,California,Loma Mar,94021,37.266388,-122.26308
3908-BLSYF,Female,0,0,0,6,United States,California,Los Altos,94024,37.352911,-122.093002
7549-MYGPK,Female,0,1,0,63,United States,California,Mountain View,94040,37.380662,-122.086022
3804-RVTGV,Male,0,1,0,50,United States,California,Mountain View,94043,37.419725,-122.062947
9227-LUNBG,Female,0,0,0,1,United States,California,Pescadero,94060,37.22565,-122.297533
4315-MURBD,Female,0,0,0,12,United States,California,San Bruno,94066,37.624436,-122.430661
9734-YWGEX,Female,0,0,0,9,United States,California,South San Francisco,94080,37.654436,-122.426468
2719-BDAQO,Male,0,0,0,17,United States,California,Sunnyvale,94086,37.378541,-122.020456
0781-LKXBR,Male,1,0,0,9,United States,California,San Francisco,94102,37.7795,-122.419233
1907-UBQFC,Male,1,0,0,10,United States,California,San Francisco,94108,37.791998,-122.408653
6513-EECDB,Male,1,1,0,1,United States,California,San Francisco,94114,37.758085,-122.434801
7074-IEVOJ,Female,1,0,0,3,United States,California,San Francisco,94130,37.820894,-122.369725
9625-QSTYE,Female,0,0,0,13,United States,California,San Francisco,94131,37.746699,-122.442833
4750-ZRXIU,Female,1,0,0,4,United States,California,Palo Alto,94304,37.386978,-122.177746
6400-BWQKW,Female,0,0,0,6,United States,California,San Mateo,94402,37.556634,-122.317723
6680-WKXRZ,Female,0,0,0,3,United States,California,Antioch,94509,37.980057,-121.801599
7028-DVOIQ,Male,1,0,0,35,United States,California,Birds Landing,94512,38.140719,-121.838298
4208-UFFGW,Male,1,0,0,2,United States,California,Byron,94514,37.83323,-121.601461
9448-REEVD,Male,0,1,0,1,United States,California,Concord,94520,38.013825,-122.039144
9117-SHLZX,Male,0,0,0,1,United States,California,Fremont,94538,37.505768,-121.962472
9889-TMAHG,Male,1,0,0,8,United States,California,Fremont,94539,37.516791,-121.899117
4541-RMRLG,Male,0,0,0,7,United States,California,Hayward,94541,37.674002,-122.076796
3158-MOERK,Female,0,0,0,2,United States,California,Hayward,94545,37.62984,-122.120843
7294-TMAOP,Female,0,0,0,1,United States,California,Castro Valley,94546,37.708327,-122.083473
8919-FYFQZ,Male,1,1,0,44,United States,California,Livermore,94550,37.571748,-121.659562
2834-JRTUA,Male,0,0,0,71,United States,California,Martinez,94553,38.014457,-122.115432
5875-YPQFJ,Male,0,0,0,1,United States,California,Fremont,94555,37.555473,-122.080312
6646-QVXLR,Male,1,1,0,62,United States,California,Napa,94558,38.489789,-122.27011
8603-IJWDN,Male,0,0,0,1,United States,California,Pinole,94564,37.996462,-122.293716
9369-XFEHK,Female,1,1,0,33,United States,California,Pleasanton,94566,37.633361,-121.862395
3842-IYKUE,Female,0,0,0,35,United States,California,San Leandro,94579,37.687264,-122.15728
6641-XRPSU,Female,0,0,0,34,United States,California,San Lorenzo,94580,37.676249,-122.132415
1374-DMZUI,Female,1,0,0,4,United States,California,San Ramon,94583,37.766556,-121.976784
8357-EQXFO,Female,0,0,0,7,United States,California,Union City,94587,37.59485,-122.051521
1989-PRJHP,Male,1,1,0,27,United States,California,Pleasanton,94588,37.685052,-121.912061
9524-EGPJC,Female,0,0,0,18,United States,California,Walnut Creek,94595,37.862128,-122.075197
6993-OHLXR,Female,0,0,0,2,United States,California,Walnut Creek,94596,37.900662,-122.052782
8818-XYFCQ,Male,0,1,0,32,United States,California,Walnut Creek,94598,37.916648,-122.008483
4695-VADHF,Male,0,1,0,18,United States,California,Oakland,94606,37.792489,-122.244314
3863-IUBJR,Male,0,1,0,12,United States,California,Oakland,94607,37.80707,-122.297401
4822-RVYBB,Male,1,0,0,8,United States,California,Berkeley,94704,37.871416,-122.246597
8436-BJUMM,Male,0,1,0,26,United States,California,Albany,94706,37.890274,-122.295192
4184-TJFAN,Female,1,1,0,3,United States,California,Berkeley,94707,37.897753,-122.279391
4145-UQXUQ,Female,1,0,0,8,United States,California,Berkeley,94710,37.872902,-122.303708
9948-YPTDG,Male,0,1,0,38,United States,California,San Rafael,94903,38.018065,-122.546024
1236-WFCDV,Male,1,0,0,14,United States,California,Greenbrae,94904,37.946617,-122.563571
4883-QICIH,Male,0,1,0,32,United States,California,Bodega Bay,94923,38.377165,-123.037957
8329-IBCTI,Female,0,0,0,1,United States,California,Cotati,94931,38.326215,-122.718742
1271-SJBGZ,Male,1,0,0,12,United States,California,Forest Knolls,94933,38.010092,-122.689442
5669-SRAIP,Female,0,0,0,5,United States,California,Larkspur,94939,37.937082,-122.532369
5981-ITEMU,Male,0,1,0,40,United States,California,Marshall,94940,38.129308,-122.834815
6941-PMGEP,Female,0,0,0,5,United States,California,Novato,94945,38.135897,-122.563683
1624-WOIWJ,Female,0,0,0,10,United States,California,Nicasio,94946,38.065359,-122.665566
2074-GKOWZ,Male,0,1,0,2,United States,California,Novato,94947,38.112166,-122.634384
0376-YMCJC,Male,0,0,0,23,United States,California,Novato,94949,38.067204,-122.524004
0634-SZPQA,Female,0,0,0,23,United States,California,San Anselmo,94960,37.99272,-122.575026
5536-RTPWK,Male,0,1,0,49,United States,California,Sausalito,94965,37.848641,-122.515692
6166-ILMNY,Female,0,0,0,2,United States,California,Tomales,94971,38.240769,-122.901041
3097-NNSPB,Female,0,0,0,2,United States,California,Valley Ford,94972,38.339996,-122.935056
0655-RBDUG,Male,0,0,0,7,United States,California,Alviso,95002,37.449537,-121.994813
4361-BKAXE,Female,0,0,0,41,United States,California,Boulder Creek,95006,37.171727,-122.142961
9878-TNQGW,Male,0,0,0,2,United States,California,Davenport,95017,37.114335,-122.237162
4441-NIHPT,Female,1,0,0,13,United States,California,Freedom,95019,36.936228,-121.785559
8999-BOHSE,Female,1,0,0,11,United States,California,Gilroy,95020,37.03889,-121.528955
7029-RPUAV,Male,1,1,0,17,United States,California,Los Gatos,95030,37.222842,-121.988727
4607-CHPCA,Male,0,1,0,25,United States,California,San Martin,95046,37.084697,-121.606417
8824-RWFXJ,Male,0,1,0,3,United States,California,Santa Cruz,95062,36.974575,-121.991149
9763-PDTKK,Female,0,0,0,4,United States,California,San Jose,95112,37.343827,-121.883119
7627-JKIAZ,Female,0,1,0,37,United States,California,San Jose,95116,37.350284,-121.852855
4081-DYXAV,Female,0,0,0,19,United States,California,San Jose,95125,37.294926,-121.894763
8111-SLLHI,Male,1,1,0,39,United States,California,San Jose,95128,37.316146,-121.936285
0927-LCSMG,Male,0,0,0,7,United States,California,San Jose,95129,37.305622,-122.000887
8257-RZAHR,Female,0,1,0,14,United States,California,San Jose,95134,37.42765,-121.945416
5293-WXJAK,Female,1,1,0,11,United States,California,San Jose,95135,37.28682,-121.723877
0841-NULXI,Male,0,0,0,1,United States,California,Stockton,95209,38.044523,-121.348048
7851-WZEKY,Female,0,0,0,2,United States,California,Stockton,95219,38.029729,-121.387999
8844-TONUD,Male,0,1,0,13,United States,California,Acampo,95220,38.200231,-121.235034
4086-YQSNZ,Female,1,1,0,3,United States,California,Glencoe,95232,38.358464,-120.579304
5868-CZJDR,Male,0,0,0,1,United States,California,Linden,95236,38.047746,-121.030499
0135-NMXAP,Female,0,0,0,12,United States,California,Lodi,95240,38.123544,-121.159078
6270-OMFIW,Male,0,1,0,60,United States,California,Valley Springs,95252,38.156971,-120.849231
0107-WESLM,Male,0,0,0,1,United States,California,West Point,95255,38.41935,-120.469545
3992-YWPKO,Female,0,0,0,6,United States,California,Atwater,95301,37.321233,-120.656354
0125-LZQXK,Male,0,0,0,15,United States,California,Big Oak Flat,95305,37.818589,-120.256995
8399-YNDCH,Male,1,0,0,21,United States,California,Columbia,95310,38.085839,-120.37855
5673-FSSMF,Female,0,0,0,1,United States,California,Delhi,95315,37.422961,-120.765493
